a,b,c
32,69,55
15,95,81
42,75,7
8,24,93
12,18,23
52,4,29
62,2,41
39,14,22
34,34,76
49,85,59
25,98,85
64,19,73
68,81,91
47,22,59
6,84,46
75,9,8
44,97,77
17,36,69
16,64,45
52,59,63
87,33,87
90,64,89
0,12,90
60,87,83
50,10,56
60,69,12
85,60,45
78,82,82
91,33,17
70,67,15
35,47,65
32,55,93
66,66,2
87,26,46
13,64,70
98,56,59
27,91,59
93,42,67
80,72,31
87,20,73
55,97,75
92,46,73
37,60,50
15,44,86
42,52,87
21,42,76
64,31,18
16,10,48
39,5,61
98,6,63
27,26,86
91,93,49
60,94,15
60,53,7
9,97,17
43,74,3
90,13,24
46,34,35
66,38,10
13,10,95
3,84,82
37,4,65
61,56,30
0,80,21
25,21,7
80,60,59
60,56,72
54,40,48
2,57,39
21,25,50
0,80,55
33,20,62
47,30,6
71,59,83
44,65,47
77,60,52
86,54,19
54,51,75
13,6,7
27,45,72
99,28,88
95,49,21
57,61,24
65,60,5
23,39,91
59,57,91
53,31,29
3,6,94
39,1,13
16,59,71
6,4,98
10,24,87
91,55,22
68,18,28
27,30,0
95,28,2
48,78,28
73,77,83
47,46,78
14,24,20
12,30,94
7,32,51
41,73,99
91,47,28
48,2,63
40,70,19
57,90,88
48,0,81
89,33,56
48,43,35
73,14,86
10,31,67
21,19,13
37,65,95
87,16,63
13,99,51
92,47,27
79,64,1
30,44,82
70,91,55
46,17,21
97,9,12
71,67,7
8,17,21
6,99,93
76,46,59
50,83,62
7,92,0
62,65,32
45,30,79
63,9,65
14,0,31
20,2,44
90,68,48
79,1,79
25,18,36
15,95,62
43,7,31
96,76,68
92,50,94
67,62,12
42,29,27
8,23,1
61,91,58
60,48,53
69,64,72
61,18,10
49,21,72
94,41,3
10,70,88
20,1,75
44,90,20
73,32,95
62,62,54
92,48,96
97,33,21
86,22,44
30,99,28
14,70,50
89,59,5
44,97,20
89,51,8
26,53,99
98,8,54
58,25,11
55,23,89
94,39,25
39,73,88
95,94,62
58,84,5
71,35,13
58,51,7
17,64,61
69,39,74
81,60,77
20,96,59
78,70,56
7,46,11
44,32,10
13,35,94
22,25,1
86,38,72
43,73,74
80,58,9
57,25,10
18,70,54
64,36,57
60,40,39
96,30,25
44,11,11
39,60,59
13,2,25
7,88,41
87,73,59
43,47,83
83,49,46
66,82,58
74,14,22
17,31,98
18,35,8
9,16,12
5,43,72
0,19,74
21,74,37
26,45,40
31,89,24
11,59,75
76,30,0
81,59,28
79,59,66
84,70,73
88,3,97
64,97,51
82,82,96
96,85,82
50,10,77
26,22,35
18,44,6
94,36,38
64,96,56
71,8,99
29,91,90
67,53,52
56,25,12
38,77,73
83,75,11
90,88,6
63,33,18
10,12,87
21,88,51
31,44,37
83,47,70
15,54,27
69,46,86
5,7,3
31,84,27
56,50,88
63,15,84
30,29,65
0,46,59
25,8,90
59,80,8
36,29,25
54,22,39
96,72,27
73,24,71
61,65,48
38,17,29
73,20,70
61,47,88
6,79,2
98,6,77
0,2,49
73,35,62
53,70,74
16,62,58
30,39,87
49,45,50
46,14,92
60,46,88
81,85,46
31,15,90
53,43,67
88,96,4
95,61,34
46,92,3
4,44,73
7,96,86
22,93,21
24,97,19
59,61,76
32,79,81
91,97,3
32,68,40
93,77,57
63,65,93
42,59,79
1,55,36
13,10,80
67,27,63
65,67,62
11,11,71
93,19,75
10,88,86
37,72,3
7,4,45
66,99,69
98,60,26
40,58,65
39,36,48
96,55,41
86,27,93
50,89,96
74,85,93
58,21,28
71,85,36
45,21,71
18,30,99
39,51,75
94,60,3
88,89,15
34,69,98
75,94,79
8,21,39
72,37,5
24,37,12
30,34,80
10,32,16
92,72,9
92,40,15
98,2,13
42,63,77
41,59,27
82,0,95
15,81,17
24,34,51
41,40,55
34,50,26
40,98,7
96,90,21
99,27,46
97,70,37
13,69,93
34,80,86
13,8,39
3,48,96
73,68,93
67,26,63
36,35,3
96,51,74
76,30,50
28,72,8
42,36,39
66,96,95
97,99,92
15,41,64
29,35,20
88,75,3
47,42,48
77,89,39
5,90,97
73,55,38
19,56,27
10,52,51
56,27,52
94,38,93
55,25,13
15,31,5
50,72,50
59,24,0
11,79,82
87,24,39
53,74,43
55,7,10
4,67,99
61,86,47
89,20,13
60,3,57
99,60,38
60,77,65
14,56,21
1,41,76
13,86,79
13,76,36
26,36,47
95,55,22
45,62,93
75,22,4
18,42,92
9,47,89
68,26,89
54,18,6
81,64,24
52,2,35
26,96,29
13,32,15
12,52,22
83,47,27
73,62,39
16,63,69
5,18,59
85,35,72
20,2,99
1,80,36
63,82,88
8,6,86
4,34,63
51,82,65
18,73,11
65,31,3
47,62,23
6,0,73
75,93,20
22,66,90
45,7,87
22,85,81
71,53,96
87,48,33
51,25,70
39,90,69
42,54,29
27,34,87
6,85,34
26,16,74
1,43,90
24,92,79
32,39,48
60,53,24
38,6,50
55,94,35
91,65,80
1,84,49
50,90,53
71,19,12
57,43,31
84,75,68
17,62,38
11,27,79
43,23,53
40,92,45
31,57,28
5,99,82
91,41,99
42,86,77
73,31,6
69,14,60
62,6,27
96,74,10
81,96,75
63,99,19
70,12,22
75,81,78
41,71,7
92,55,22
69,25,54
52,84,76
33,78,97
84,18,11
43,87,45
81,72,41
47,88,15
41,22,64
24,80,56
26,11,4
52,55,50
49,80,14
16,21,53
15,41,45
64,40,71
89,8,95
36,48,49
92,72,69
79,64,32
1,5,41
31,85,14
90,99,26
87,82,79
79,49,93
57,82,51
48,12,92
17,57,11
61,81,30
49,28,72
29,47,96
52,83,47
66,19,12
29,43,56
85,55,44
28,59,93
41,45,68
63,0,18
8,26,79
99,44,38
82,72,11
65,6,42
2,67,64
1,74,41
44,28,59
82,65,11
58,49,92
75,72,50
12,65,30
21,99,30
30,61,72
37,60,46
16,75,48
2,49,27
17,27,21
19,78,40
32,12,11
22,31,44
58,8,71
50,64,36
30,84,75
52,46,90
30,93,84
31,4,84
93,23,72
13,13,71
24,35,59
14,19,78
24,77,3
75,21,58
67,84,3
24,4,15
85,8,20
13,3,60
13,90,77
69,27,80
25,58,48
9,86,12
37,88,9
84,22,42
69,26,97
55,25,29
76,94,27
51,47,36
23,88,37
3,50,58
0,8,85
0,10,72
25,79,10
68,38,54
10,68,94
41,46,73
24,28,3
23,22,51
90,40,0
94,29,7
48,46,72
75,78,69
83,72,14
89,15,86
32,98,64
10,18,65
77,99,22
86,41,55
99,66,55
63,47,17
72,36,84
43,8,45
61,53,62
78,74,92
38,14,0
91,41,83
60,0,87
79,54,16
66,9,65
74,5,64
0,30,80
55,80,23
16,69,50
75,41,29
73,27,84
15,17,13
80,29,34
9,55,1
61,14,85
29,54,73
32,35,96
16,43,76
66,59,3
68,30,55
62,75,90
48,6,8
39,68,57
37,36,92
50,53,60
22,37,19
26,55,83
93,58,90
